,Name,ID,Badge,Reviewed,Disc Percent,Qty Sold,Original Price,Final Price,Avg Rating,Prod URL,Shop Name,Shop ID,Shop City,Shop URL
205,Logitech MK215 Combo Keyboard dan Mouse Wireless Compact,292158625,Official Store,5124,24,0,299000,226000,4.9,https://www.tokopedia.com/logitech/logitech-mk215-combo-keyboard-dan-mouse-wireless-compact?whid=5931369,Logitech Official Store,2642798,Jakarta Selatan,https://www.tokopedia.com/logitech
206,Razer DeathAdder Essential White - Essential Gaming Mouse,1959042553,Official Store,810,58,0,595000,249000,5.0,https://www.tokopedia.com/razer/razer-deathadder-essential-white-essential-gaming-mouse?whid=11043117,Razer Flagship Store,2207588,Surabaya,https://www.tokopedia.com/razer
207,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button,1461048616,Official Store,2321,58,0,140000,59000,4.9,https://www.tokopedia.com/setofficial/mouse-gaming-gaming-mouse-terlaris-hp-m160-usb-1000dpi-rgb-3-button-hitam?whid=12229825,SET Gaming Gear Official,3141137,Palembang,https://www.tokopedia.com/setofficial
208,Mouse pad SLEC M6 anti slip / waterproof,1787568113,Official Store,682,37,1200,79000,49750,5.0,https://www.tokopedia.com/slec-official/mouse-pad-slec-m6-anti-slip-waterproof-speed-type?whid=12229825,SLEC Official Store,3192998,Jakarta Utara,https://www.tokopedia.com/slec-official
209,Logitech G402 Hyperion Fury Mouse Gaming Wired Ultra-Fast FPS,225305443,Official Store,1442,45,0,729000,399000,5.0,https://www.tokopedia.com/logitech-g/logitech-g402-hyperion-fury-mouse-gaming-wired-ultra-fast-fps?whid=10937518,Logitech G Official,2670965,Bandung,https://www.tokopedia.com/logitech-g
210,Mouse Wireless Rexus Office Q30 Silent Mouse,2036424305,Official Store,258,59,518,119000,49000,4.9,https://www.tokopedia.com/suryaecomm/mouse-wireless-rexus-office-q30-silent-mouse-hitam?whid=10937518,Surya Mitra Online,4520156,Surabaya,https://www.tokopedia.com/suryaecomm
211,Mouse USB Logitech M90,424159251,Official Store,770,0,0,0,42500,4.9,https://www.tokopedia.com/dbclick/mouse-usb-logitech-m90?whid=13204860,dbclick,3088530,Jakarta Utara,https://www.tokopedia.com/dbclick
212,Logitech G102 Lightsync Gaming Mouse [FS],2026818430,Official Store,2104,38,0,379000,235000,4.9,https://www.tokopedia.com/logitech-g/logitech-g102-lightsync-gaming-mouse-fs-hitam?whid=13204860,Logitech G Official,2670965,Jakarta Pusat,https://www.tokopedia.com/logitech-g
213,CLIPtec RZY238 / Speed-Pad / Mouse Pad / Premium rubber / Slip Free,1131026224,Official Store,556,10,1400,28000,25200,4.9,https://www.tokopedia.com/cliptec/cliptec-rzy238-speed-pad-mouse-pad-premium-rubber-slip-free-merah-muda?whid=13204860,CLIPTEC OFFICIAL STORE,3472274,Jakarta Pusat,https://www.tokopedia.com/cliptec
214,Logitech MK120 Keyboard Mouse Combo,337883819,Official Store,943,0,4100,0,145000,4.9,https://www.tokopedia.com/dbclick/logitech-mk120-keyboard-mouse-combo?whid=13204860,dbclick,3088530,Jakarta Utara,https://www.tokopedia.com/dbclick
